job_title,job_url,search_term,pay_type,hourly_rate_min,hourly_rate_max,est_hours_per_week,est_duration_weeks,fixed_price,estimated_total_pay,job_description,skill_1,skill_2,skill_3,skill_4,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13
Create Automated LinkedIn Content Generator Automation,https://www.upwork.com/jobs/Create-Automated-LinkedIn-Content-Generator-Automation_~021914489807770310889/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,150.0,150.0,"📌 Overview (Revised for Clarity)
I’m building a system that automatically generates LinkedIn posts using GPT-4, based on my brand voice and content strategy.

I want it to run on autopilot—generating one post per weekday—without me needing to manually feed it ideas every time. That said, I do want the flexibility to add my own ideas when I choose.

The system should:

Pull ideas from a Notion database (which may include manually entered ideas or content pulled from meetings/notes)

Send them to GPT-4 using a custom LinkedIn prompt I provide

Save the draft in a second Notion database for me to review, edit, and post

I'm looking for someone who can build this using Zapier, Notion, and Open—and deliver a clean, reliable system I can use and later offer to clients.

🛠️ What I Need You to Build:
1. Automation Flow (Zapier)

Scheduled trigger: once per weekday

Pull the next available idea from a Notion Content Seeds database

If nothing is available, system can either pause or use a backup/default theme bank

Send idea + metadata (Post Type, Tone) to Open using a custom LinkedIn prompt I’ll provide (includes voice, structure, CTA logic, etc.)

Output: Create or update a Notion record in the LinkedIn Drafts database

Fields include: Content Idea,  Draft, Tone, Post Type, Status

Mark the seed as “Used” with timestamp

2. Two Notion Databases

Content Seeds

Stores raw snippets, notes, voice memos (manually or automatically sourced)

Fields: Idea Snippet, Post Type Tag, Tone Hint, Source, Status, Date Added

LinkedIn Draft Generator

Receives the -generated drafts

Fields: Content Idea,  Draft, Final Copy, Post Type, Tone, Status, Date Used

3. Integration of My GPT Prompt

I’ll provide a structured prompt that includes:

My LinkedIn content strategy (based on the 4-1-1 rule)

Hook/re-hook formatting

Tone guidance and audience context

You’ll set up the Zap to send dynamic fields into this prompt

🔁 Bonus Features (Ideal but not required):
Option to pull ideas from my meeting notes (Fathom or Google Doc) via Zapier

A fallback system if the Content Seeds database is empty (e.g. random ideas or templates)

✅ Deliverables
Fully functioning Zapier flow (daily post draft automation)

Notion databases set up and connected

Open integration with custom prompt

Simple guide (Notion doc or Loom) to explain how I can edit, review, and reuse the system

🧠 Ideal Background
This project is perfect for someone who has:

Built GPT-powered automation tools before

Experience integrating Notion + Zapier + Open

Familiarity with creator workflows, LinkedIn content, or thought leadership pipelines",Artificial Intelligence,Zapier,Api Integration,Automation,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Openai Api,,
Need a Programmer to Create a Telegram or  Trading Bot in Python,https://www.upwork.com/jobs/Need-Programmer-Create-Telegram-span-class-highlight-span-Trading-Bot-Python_~021914476550669212355/?referrer_url_path=/nx/search/jobs/,AI,Hourly,47.0,80.0,,8.0,,15240.0,"Need an  Trading Bot for automated BUY/SELL of crypto(Bitcoin only)- coded in Python, (no forex currency trading)


trading bot functions needed:
Automatically do, trade buying/trade selling of crypto(bitcoin) at certain price and selling at certain price i choose

ex. automatically enter a trade at certain price ($50) then automatically sell it at ($65) when Bitcoin reaches that price and repeat this cycle.",Artificial Intelligence,Telegram,,,,,,,,Ai Trading,,
"Expert Consultant for Sales, Marketing, and Engineering Tools",https://www.upwork.com/jobs/span-class-highlight-span-Expert-Consultant-for-Sales-Marketing-and-Engineering-Tools_~021914457389464191801/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,1000.0,1000.0,"We are seeking an experienced  consultant to help our company identify and recommend the best  tools focused on enhancing our sales, marketing, and engineering operations. The ideal candidate will have a deep understanding of the latest  technologies and trends, along with practical experience in applying these tools to drive business growth. Your insights will guide us in selecting the right solutions to improve efficiency and performance across our departments.",Artificial Intelligence,Lead Generation,Marketing Strategy,Content Writing,Project Management,Artificial Intelligence,Artificial Intelligence,,,,,
"Engineer – Local Setup for Private LLM System (South Bend, IN – On-Site)",https://www.upwork.com/jobs/span-class-highlight-span-Engineer-Local-Setup-for-Private-LLM-System-South-Bend-Site_~021914437604717627847/?referrer_url_path=/nx/search/jobs/,AI,Hourly,45.0,70.0,30.0,4.0,,6900.0,"Seeking an experienced /ML engineer for a one-time on-site setup of a high-performance local LLM system. This project involves configuring and optimizing a large open-weight language model (LLaMA 4 – 70B) for use in a secure, offline private research environment.

Responsibilities will include:
•	Installing and configuring LLaMA 4 (Maverick version) locally on a high-performance Ubuntu system with RTX 6000 Ada GPU
•	Setting up token streaming or prompt-response architecture using vLLM, Ollama, or similar inference stack
•	Building a lightweight FastAPI (or CLI) interface for model interaction
•	Implementing logging of inputs/outputs to disk in JSON or plain text
•	Assisting with setup of a local embedding model (e.g., MiniLM or BGE) for vector search/memory recall
 
Requirements:
•	Prior experience running large models locally (13B–70B)
•	Familiarity with GPU inference and memory optimization (without quantization)
•	Strong Linux skills (Ubuntu CLI)
•	Security-first mindset; must respect that the system is fully airgapped
•	Ability to communicate clearly and implement from spec

Nice to have (not required):
•	Familiarity with LangChain, LangGraph, or agent orchestration frameworks
•	Knowledge of inference schedulers, token streaming, or routing logic

Project Details:
•	Estimated time: 1–1.5 working days total
•	Compensation: Rate negotiable — please include your typical hourly or day rate when applying
•	Location: Must be available to work on-site in South Bend, IN
•	Security: NDA will be required",Artificial Intelligence,,,,,,,,,,,
"Full Stack Engineer Needed for  QA ""Computer-Use"" Agnt",https://www.upwork.com/jobs/Full-Stack-Engineer-Needed-for-span-class-highlight-span-Computer-Use-Agnt_~021914396461775356729/?referrer_url_path=/nx/search/jobs/,AI,Hourly,70.0,85.0,30.0,24.0,,55800.0,"We’re looking for a strong Node.js engineer to join TestDriver. as a core contributor.

As a contract engineer at TestDriver, you’ll have the opportunity to make a big impact on a high-velocity team. You’ll work closely with the founder, ship real features fast, and help us build a groundbreaking testing product that engineers actually love to use. You’ll have a lot of autonomy, a lot of responsibility, and (hopefully) a lot of fun doing it.

What is TestDriver?
TestDriver helps engineering teams ship fast without sacrificing quality. Our ""computer-use""  agents deliver the depth of manual testing at the speed and scale of automation.

Think Anthropic’s Computer-Use, but focused on QA. TestDriver is a custom computer-use agent and file format that uses  Vision to simulate E2E user interactions across a real operating system.

We’re building a developer-first product with a deep focus on experience and speed. This isn’t just another QA tool — it’s a new layer of abstraction for testing.

What’s the company like?
We’re a VC-backed, revenue-generating startup based in Austin, TX. The team is 9 people strong, mostly remote, and highly technical.

We move fast. We’re builders. And we love working with people who are self-directed, curious, and biased toward action.

We’re default remote, but if you’re in or near Austin, we’d love to get some occasional in-person time.

What will I be doing?
As a contract Node.js engineer, you’ll be instrumental in scaling our core platform. This isn’t a narrow role — you’ll touch everything from infrastructure to developer-facing APIs.

Here’s what you’ll focus on:

Building and maintaining scalable Node.js services

Owning key backend infrastructure (MongoDB, GitHub Actions integrations, cloud resources)

Writing clean, testable code with an eye toward maintainability

Implementing growth-focused experiments and features

Collaborating closely with the founder and core team on architecture and product direction

What makes a good fit?
You should:

Have deep experience with Node.js

Be comfortable in a fast-paced, early-stage startup environment

Have shipped production systems and maintained them under real-world load

Be proactive, self-managing, and able to prioritize effectively

Bonus points for:

Experience with MongoDB, GitHub Actions, Datadog, or Notion APIs

Familiarity with Playwright, Cypress, or other E2E test automation frameworks

Exposure to  Vision, Electron, or Computer Vision (not required)

This is a contract role with the potential to evolve into something more. If you’re a strong Node.js engineer looking for an exciting opportunity to help define the future of software testing, let’s talk.",Artificial Intelligence,Vue.Js,Web Application,Computer Vision,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,Ai Agent Development,Artificial Intelligence,
Programming with full stack abilities to interact with Twilio using chat GPT for conversion.,https://www.upwork.com/jobs/Programming-with-full-stack-abilities-interact-with-Twilio-using-chat-GPT-for-conversion_~021914403981937089219/?referrer_url_path=/nx/search/jobs/,AI,Hourly,45.0,70.0,30.0,8.0,,13800.0,"Help built a site that integrates calls using  using API & Chat GPT
must have knowledge using Twilio must full stack abilities.",Artificial Intelligence,Web Application,,,,,,,,,,
I need up with  agent chatbot,https://www.upwork.com/jobs/need-with-span-class-highlight-span-agent-chatbot_~021914374401514701625/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,300.0,300.0,"I have a hotel chatbot application built with Flask and Flask-SocketIO for. It uses PostgreSQL (on Render), Open for  responses, Twilio , and Redis for caching. The app allows guests to chat with an , and agents can monitor conversations on a ""Live Messages"" page with real-time updates via SocketIO.

Current Issues
The moment i updated my open  then all these issues occured. I need it updated for open  sync to work. 


Open Integration Failure:
After updating the Open library, the  no longer responds to user messages.
The _respond function (using AsyncOpen) is not working as expected, and no  replies are being generated.
Live Messages Not Displaying:
The ""Live Messages"" page (/live-messages/) is not showing messages in real-time.
Messages should update automatically via SocketIO when users or the  send messages, but this functionality is broken.
What I Need
I need a Python/Flask developer with experience in Open, Flask-SocketIO, and real-time messaging to:

Fix the Open integration so the  responds to user messages again.
Ensure all messages display in real-time on the ""Live Messages"" page using SocketIO.
Test the application on Render to confirm both issues are resolved.
Tech Stack
Backend: Python, Flask, Flask-SocketIO, Celery
Integrations: Open, Twilio , Redis
Deployment: Render
Deliverables
A working Open integration with  responses.
Real-time message updates on the ""Live Messages"" page.
A tested and deployed application on Render.",Artificial Intelligence,Chatbot Development,,,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,
for Legal Trainer,https://www.upwork.com/jobs/span-class-highlight-span-for-Legal-Trainer_~021914133918726292107/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,1300.0,1300.0,"📚  Trainer – Legal Workflow Automation (1-Day Remote Training)
💼 Category:  Training / Legal Tech / Process Automation
💰 Rate: $1,300 for full-day remote training
🌐 Location: Remote (U.S.-based preferred)
🗓️ Start Date: Two weeks after contract signing

🧠 Project Overview
We're a small but fast-moving law firm seeking a remote  trainer to lead a full-day virtual training session for our attorneys and staff. This session will focus on how to integrate  tools into our daily operations to reduce repetitive tasks and improve efficiency.

The training will be held remotely via Zoom or similar platform, and may be delivered as a full-day session or two half-day sessions across two days. Either format will be paid at our standard full-day rate of $1,300.

🎯 Training Goals
Teach our team how to use  and automation tools to streamline:

Billing and invoicing

Appointment scheduling and reminders

Document generation and intake forms

Internal task automation and  assistants

Share demos and hands-on walkthroughs using relevant platforms

Customize content to fit the needs of small law firms and legal professionals

Address data privacy, ethics, and client confidentiality in  usage

✅ Ideal Candidate
We're looking for someone who:

Has experience delivering virtual training sessions

Can translate complex  concepts into actionable tools for non-technical users

Is familiar with platforms like Zapier, Calendly, Clio, MyCase, GPT API, or other automation tools

Has previously trained professional service teams (legal experience a plus)

Can deliver engaging, interactive remote instruction

🕒 Logistics & Compensation
Prep Time: 2 weeks from contract signature to training date

Delivery Format: Remote, via Zoom or platform of your choice

Compensation:

Half-Day (3.5 hours): $700

Full-Day (7 hours or two half-days): $1,300

📝 How to Apply
Please include:

A short bio and relevant experience in  or legal automation

Examples of virtual training you’ve led

A note about your training style and tools you specialize in",Artificial Intelligence,Chatgpt,,,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,
"Consultant – Legal Workflow Automation (Billing, Reminders, Operations)",https://www.upwork.com/jobs/span-class-highlight-span-Consultant-Legal-Workflow-Automation-Billing-Reminders-Operations_~021914132889905463947/?referrer_url_path=/nx/search/jobs/,AI,Hourly,150.0,175.0,30.0,4.0,,19500.0,"🚀  Consultant – Legal Workflow Automation (Billing, Reminders, Operations)
💼 Category:  Development / Legal Tech / Business Automation
💰 Rate: $150–$175/hr (Depending on Experience)
📍 Location: Remote
⏳ Project Type: One-time workshop + possible ongoing support

🧠 Project Overview
We're a small but growing law firm looking to leverage  tools and automation to improve efficiency and reduce time spent on repetitive tasks. This engagement will begin as a consulting/workshop-style project to evaluate our needs, recommend  tools or platforms, and potentially implement automation solutions.

Our key areas of focus:

Automated Billing (tracking billable hours, generating invoices, sending reminders)

Client Appointment Reminders (email/SMS integrations with calendar tools)

Task Automation for repetitive internal operations (document generation, client intake, follow-ups)

Potential integration of  chat assistants or tools for preliminary legal queries or client onboarding

🔍 What We're Looking For
We’re seeking an  consultant or automation expert who can:

Conduct a 1:1 discovery session with our leadership team

Review our current tech stack and workflows

Recommend -powered platforms, plugins, or low/no-code automation tools

Create a roadmap for implementation (and optionally assist with build-out)

✅ Ideal Skills & Experience
/ML knowledge focused on business or legal applications

Familiarity with tools like Zapier, Make (Integromat), ChatGPT, GPT API, Calendly, Clio, MyCase, or similar CRMs

Previous experience consulting for small professional services firms

Ability to explain technical solutions in clear, non-technical terms

Bonus: Familiarity with legal operations or small law firm workflows

📆 Project Timeline
We’d like to start with an initial 1–2 hour paid consultation, followed by a short-term project roadmap. If things go well, we’re open to ongoing advisory or implementation support.

📝 How to Apply
Please include:

A brief overview of your relevant experience

Any past projects involving  + small business automation (bonus for legal!)

Tools/platforms you typically work with

Your availability for an initial call this week or next

Looking forward to working with someone who can help us modernize our firm, reduce manual workload, and scale efficiently using .",Artificial Intelligence,Chatgpt,,,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,
"Consultant – Enterprise Automation Strategy for Engineering, IT & C-Suite Leaders",https://www.upwork.com/jobs/span-class-highlight-span-Consultant-Enterprise-Automation-Strategy-for-Engineering-amp-Suite-Leaders_~021914134808978861793/?referrer_url_path=/nx/search/jobs/,AI,Hourly,125.0,155.0,30.0,4.0,,16800.0,"🚀  Consultant – Enterprise Automation Strategy for Engineering, IT & C-Suite Leaders
💼 Category:  Strategy / Automation / Enterprise Tech
💰 Rate: $150–$175/hr (Depending on Experience)
🌐 Location: Remote
⏳ Project Type: Short-term strategy session, with optional follow-up

🧠 Project Overview
We're seeking a high-level  consultant to help design a strategic automation roadmap for a large organization across Engineering, IT, and Executive (C-suite) divisions. This will start as a virtual workshop or series of sessions and may grow into a broader support engagement.

🧩 Key Goals
Analyze current processes in Engineering, IT Ops, and C-Suite reporting workflows

Recommend -powered tools for:

Automated reporting

-driven data analysis

Workflow optimization

Executive dashboards and task automation

Help define an internal  readiness strategy

✅ Ideal Background
Experience consulting for enterprise clients (engineering, IT, or executive teams)

Knowledge of automation tools (e.g., Power Automate, Zapier, GPT API, LangChain)

Ability to scope and communicate strategic opportunities clearly

Strong understanding of ’s ethical and business implications

📝 To Apply
Please share:

Relevant experience and previous enterprise  consulting engagements

Areas of expertise ( platforms, industries, etc.)

Tools or platforms you recommend for large-scale business automation

Your general availability over the next 2 weeks

We’re looking for someone who can help our leadership team move from curiosity to confident implementation.",Artificial Intelligence,Chatgpt,Information Technology,,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,,
Trainer – Executive & Engineering Workflow Automation (2 Half-Day Remote Sessions),https://www.upwork.com/jobs/span-class-highlight-span-Trainer-Executive-amp-Engineering-Workflow-Automation-Half-Day-Remote-Sessions_~021914135339205996257/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,1300.0,1300.0,"📚  Trainer – Executive & Engineering Workflow Automation (2 Half-Day Remote Sessions)
💼 Category:  Training / Enterprise Automation / C-Suite Enablement
💰 Rate: $1,300 for two 4-hour remote sessions (total = full-day rate)
🌐 Location: Remote
📅 Delivery: Two half-day sessions (4 hours each) scheduled over 1–2 days
⏳ Prep Time: 2 weeks from contract signature

🧠 Project Overview
We are looking for a dynamic  trainer to deliver two 4-hour remote sessions (8 hours total) designed specifically for Engineering, IT, and Executive (C-Suite) professionals. This session will provide a strategic overview of how  can drive automation and efficiency across their departments.

🎯 Training Objectives
Provide a high-level overview of ’s impact on business and technology

Deliver hands-on demonstrations of automation tools and use cases

Explore  for reporting, productivity, and workflow automation

Discuss ethical implications, data security, and cross-functional integration strategies

✅ Ideal Candidate
We are seeking someone who:

Has led training for executive or enterprise-level teams

Understands both technical and business sides of 

Can demonstrate tools like GPT-4, Microsoft Copilot, LangChain, or custom GPT workflows

Is engaging, polished, and able to speak to C-level professionals

Can provide practical examples and walk-throughs relevant to Engineering and IT workflows

🕒 Logistics & Rate
Format: Two 4-hour sessions delivered remotely

Total Compensation: $1,300 (our standard full-day rate)

Prep Time: 2 weeks from contract signature to training date

Platform: Zoom or similar (we’ll provide access)

📝 To Apply
Please include:

Your background in  and enterprise training

Experience working with Engineering, IT, or Executive teams

Examples of past trainings or recorded sessions if available

Your availability for the next 30 days

We’re looking for a high-caliber trainer who can connect the dots between technology and business for our leadership team.",Artificial Intelligence,Chatgpt,,,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,
API Data Engineer,https://www.upwork.com/jobs/span-class-highlight-span-API-Data-Engineer_~021914092178971564739/?referrer_url_path=/nx/search/jobs/,AI,Hourly,60.0,120.0,30.0,8.0,,21600.0,"Job Overview
We’re looking for an experienced Data Engineer to own and enhance our existing Python-based data pipeline that scrapes public audio data and performs extensive post-processing, including transcription, diarization, and annotation using Rev API and Gemini Pro API.
Responsibilities:
Take ownership of our existing audio data pipeline
Maintain and improve the reliability and efficiency of the current system
Develop new features and functionality for audio processing
Integrate and optimize usage of external APIs (Rev, Gemini Pro)
Implement robust error handling and monitoring
Document the system and processes
Requirements:
Strong Python programming skills
Experience building and maintaining data pipelines
Experience integrating and working with external APIs
Knowledge of best practices for scalable data engineering
Fast execution and iterative development mindset
Self-motivated with ability to work independently
Nice to Have:
Experience with speech-to-text systems
Familiarity with audio processing techniques
Knowledge of speaker diarization techniques
Background in audio signal processing
Experience with cloud computing platforms
Prior work with large language models or  APIs
Project Details:
This is an ongoing role with potential for long-term collaboration. The ideal candidate will be able to understand our current system quickly and start making improvements immediately. We value speed of execution and pragmatic solutions over perfection.",Artificial Intelligence,Python,Api,,,,,,,Artificial Intelligence,,
Expert Needed for Automated Financial Newsletter Generation,https://www.upwork.com/jobs/span-class-highlight-span-Expert-Needed-for-Automated-Financial-Newsletter-Generation_~021914070028676039307/?referrer_url_path=/nx/search/jobs/,AI,Hourly,65.0,85.0,30.0,8.0,,18000.0,"Seeking an experienced Python developer with a strong understanding of  and agentic workflows to help me build an automated system that generates and emails a weekly newsletter to my investor clients. The newsletter should provide timely, insightful updates on the current state of the economy and financial markets, using curated data sources, language generation models (like GPT), and possibly retrieval-augmented generation for added context. The system should be able to autonomously gather relevant economic and market data, synthesize the information into a professionally written newsletter, and distribute it via email to a client list every week. Ideally, the workflow should be agent-driven, with minimal human intervention, and include logging, error handling, and the flexibility to evolve as market conditions and data sources change. Experience with financial data APIs, automated email systems, and prompt engineering is highly preferred.",Artificial Intelligence,Natural Language Processing,,,,,,,,Ai Agent Development,Ai Instruction,
No-Code Backend Developer (Xano + Open) for Early-Stage Social Platform,https://www.upwork.com/jobs/Code-Backend-Developer-Xano-Open-span-class-highlight-span-for-Early-Stage-Social-Platform_~021905671283026819747/?referrer_url_path=/nx/search/jobs/,AI,Hourly,40.0,75.0,30.0,8.0,,13800.0,"Job Title:
No-Code Backend Developer (Xano + Open) for Early-Stage Social Platform

⸻

About Us:
We are an early-stage -powered social platform helping users reclaim control of their digital experience. We aggregate content across platforms and curate it into a personalized, mood-based feed—focused on user intention, not algorithmic chaos.

We’re building the next evolution of social tech—and looking for a mission-aligned backend developer to help us bring our MVP to life. 

⸻

Project Scope:
	•	Build backend infrastructure using Xano
	•	Set up user authentication (email + optional social login via Firebase)
	•	Create logic for mood + interest-based user profiles
	•	Store and rank content using -generated scores (Open API integration)
	•	Build feed logic to query and serve content based on relevance to each user
	•	Connect backend to front-end UI built in V0 (by Vercel)

⸻

Bonus Skills:
	•	Familiarity with Make.com or Pipedream for automation
	•	Experience with Firebase Auth or similar
	•	Background in building consumer-facing or mood/intention-driven products

⸻

Timeline:
4–6 weeks to launch a working MVP with beta users.

⸻

To Apply:
Please send:
	•	A brief intro or Loom video about your background
	•	Examples of similar projects (Xano + Open work especially helpful)
	•	Your availability and hourly/project rate",Artificial Intelligence,Api Integration,,,,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Openai Api,Ai App Development,
/ML & Python Trainer (Contract - Remote),https://www.upwork.com/jobs/span-class-highlight-span-amp-Python-Trainer-Contract-Remote_~021907133474520320770/?referrer_url_path=/nx/search/jobs/,AI,Hourly,65.0,95.0,30.0,24.0,,57600.0,"Company Description
WellomyTech provides state-of-the-art technology and customized solutions to small and medium-sized enterprises (SMBs) and startups. Our goal is to ensure that these businesses enjoy the same advantages typically reserved for larger corporations. By leveraging cloud-based technologies and  , we empower small businesses to boost sales, reduce operational expenses, expand into new markets, and enhance cybersecurity, all while keeping costs manageable.

Role Description
This is a contract remote role for an /ML & Python Trainer. The /ML & Python Trainer will be responsible for teaching and training clients on various  , machine learning, and Python programming tools and techniques. Trainers are expected to share their availability in advance and conduct training sessions as scheduled once bookings are confirmed. This role operates on a revenue-sharing model.

Responsibilities
Deliver high-quality training sessions on /ML concepts, Python programming, tools, and techniques.

Develop and present practical use cases and real-world examples using Python libraries (e.g., TensorFlow, PyTorch, Scikit-learn, Pandas, NumPy, Matplotlib).

Customize training content to meet the specific needs of different client groups.

Share the training schedule and availability in advance to facilitate bookings.

Conduct sessions remotely, using virtual tools and platforms effectively.

Provide post-training support and address any follow-up queries from participants.

Continuously update training materials to reflect the latest /ML and Python programming trends and advancements.

Qualifications
10+ years of experience in  , machine learning, and Python programming.

Proven experience in teaching, training, or lecturing on /ML and Python topics.

Strong skills in information technology and software development, particularly using Python for /ML solutions.

Proficiency in Python libraries and frameworks (e.g., TensorFlow, PyTorch, Scikit-learn, Pandas, NumPy, Matplotlib).

Excellent communication and interpersonal skills.

Experience in creating and conducting training sessions for diverse audiences.

Ability to work independently and remotely.

Bachelor’s degree in Data Science, Information Technology, Computer Science, or a related field is preferred.",Artificial Intelligence,Machine Learning,Python,Natural Language Processing,,Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,Artificial Intelligence,,
Custom Emotional Self-Reflection App Developer Needed,https://www.upwork.com/jobs/span-class-highlight-span-Custom-Emotional-Self-Reflection-App-Developer-Needed_~021906746607219386760/?referrer_url_path=/nx/search/jobs/,AI,Hourly,12.0,38.0,30.0,8.0,,6000.0,"We are seeking a skilled developer to implement a custom-designed emotional self-reflection app. The project involves utilizing a fully written logic system to create a user-friendly interface and engaging functionalities. The ideal candidate will have experience in app development and a passion for mental well-being. If you have a strong portfolio of similar projects and can deliver on time, we would love to hear from you.",,Android,Graphic Design,,Javascript,,,,,,,
Fantasy Football Draft Order Reveal App With Voice Announcements,https://www.upwork.com/jobs/Fantasy-Football-Draft-Order-Reveal-App-With-Voice-Announcements_~021905447381202643823/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,100.0,100.0,"I'm looking for a Python developer to build a fun and engaging fantasy sports draft order reveal tool that can be used during live drafts with friends or league members.

The goal is to create a desktop application that:
Accepts a list of league/team names
Randomly generates a draft order
Announces each pick using  voice generation
Plays a custom intro sound before each pick",Artificial Intelligence,Api Development,Python,Api,,,,,,Ai Agent Development,Ai App Development,
SQL Video Course for Beginners,https://www.upwork.com/jobs/SQL-Video-Course-for-Beginners_~021904574346186730352/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,5000.0,5000.0,"I need someone with experience in SQL and RAG with good camera presence who can collaborate with me in order to create a beginner's course on SQL databases and how it integrates with  and automations.

This won't be a project you work on alone, I look forward to working with you! My team and I run a community on the Skool platform where we teach   and also a YouTube channel called  Foundations.

We want to take our community members to the next level and integrate databases into the mix. Querying databases with  will be something crucial for peoples' success. 

Right now we teach super basic concepts with Supabase and Pinecone, since they both easily integrate with  Agents on n8n.io. I think we could take it to the level though with your help.

So, I'd love to talk about how you can help!

This should be fun. Preferably a 1080p minimum camera quality would be needed. 4k if possible!

Let's chat :)",Artificial Intelligence,Restful Api,Chatgpt Api,Sql,Retrieval Augmented Generation,Artificial Intelligence,Intelligence,Artificial Intelligence,Artificial Intelligence,,,
Branding and Logo Design,https://www.upwork.com/jobs/Branding-and-Logo-Design_~01cd3ddd5b8cbc7cfe/?referrer_url_path=/nx/search/jobs/,AI,Fixed,,,,,200.0,200.0,"I'm starting an athlete-focused, minimalist, tongue-in-cheek brand. I already have an icon for it and some colors I think I would like to use. I'm looking for someone to hash out a logo and some secondary designs. Looking to just flesh out the branding a bit.

It's minimalist and I already have a good direction going, so this won't be a ton of work. Should be relatively quick and easy.

I'll need all files at the end of the project: , eps, , png, svg, pdf.",Artificial Intelligence,Icon Design,Digital Marketing Materials,Branding Template,Logo Design,Artificial Intelligence,,,,,,
Consultation Call for Predictive Model Development,https://www.upwork.com/jobs/Consultation-Call-for-Predictive-Model-Development_~021911953226818254414/?referrer_url_path=/nx/search/jobs/,AI,Hourly,75.0,165.0,30.0,4.0,,14400.0,"We are looking for a knowledgeable consultant to engage in a one-on-one consultation focused on developing a predictive support score model using an extensive dataset. 

IMPORTANT: This job is for a left-leaning political organization, and so familiarity/comfort with that is critical. 

The perfect candidate will possess robust expertise in data analysis and modeling techniques leveraging ML. Your expertise will be instrumental in guiding the model’s scoping and ensuring it meets our objectives effectively. When applying, please include a summary of your relevant experience and any pertinent projects you have worked on.

Bonus points if you are also interested in possibly building said model as a follow-up, but that is not a requirement for this project.",,Predictive Model,Machine Learning,Data Science,Deep Learning,,,,,,,
ChatGPT API Developer for Litigation,https://www.upwork.com/jobs/ChatGPT-API-Developer-for-Litigation_~021903316927296174755/?referrer_url_path=/nx/search/jobs/,AI,Hourly,70.0,85.0,30.0,24.0,,55800.0,"Description:
Seeking experienced developer to build a custom software solution leveraging ChatGPT’s API to analyze data to be used in wage theft class actions. The ideal candidate has:

- Proven experience with Open/ChatGPT API integrations.
- Experience in data analysis and visualization.
- Proficiency in Python (preferred), JavaScript, or similar.
- Excellent communication and problem-solving skills.

Deliverables:
- Functional software tool capable analyzing wage theft data via ChatGPT.
- Documentation for future scalability and maintenance.

Please share relevant past projects and your availability. Please include your expected rate or project estimate.",Artificial Intelligence,Python,Javascript,Desktop Application,,,,,,Ai Model Integration,Ai App Development,
"Specialist: Ad Targeting, Predictive Analytics -  Platform Knowledge",https://www.upwork.com/jobs/span-class-highlight-span-Specialist-Targeting-Predictive-Analytics-span-class-highlight-span-Platform-Knowledge_~021909729616426363817/?referrer_url_path=/nx/search/jobs/,AI,Hourly,25.0,55.0,30.0,24.0,,28800.0,"Seeking a contractor that can support our Advertising Agency step into  Ad Testing and Targeting.

We don't deal with large brands or nationwide campaigns.  
We work with upper midwest clients that have perhaps a statewide geo footprint, and they provide parody services and products to age ranges 45+. Dynamic ad testing and understanding we believe could drive opportunity understanding to the next level and we are wanting to dip our toes into the  revolution.

Lets talk and figure out what we can do together.",Artificial Intelligence,Predictive Analytics,Machine Learning,Data Analysis,,Artificial Intelligence,,,,,,
